amenity,name,lon,lat,coordinates
kindergarten,Kindergarten Kraftwerk,8.5078902,47.3929114,"(8.5078902 , 47.3929114)"
kindergarten,Kindergarten Limmatgut,8.5019041,47.3983201,"(8.5019041 , 47.3983201)"
kindergarten,Kindergarten Meierhofplatz,8.5006992,47.4008128,"(8.5006992 , 47.4008128)"
kindergarten,Mittag-/Abendhort Hardturm 1 + 2,8.505294,47.3944038,"(8.505294 , 47.3944038)"
kindergarten,Kindergarten Brunnenhof 1 + 2,8.5341065,47.4003436,"(8.5341065 , 47.4003436)"
kindergarten,Kindergarten Buchegg,8.535154,47.3985082,"(8.535154 , 47.3985082)"
kindergarten,"Morgentisch, Mittag-/Abendhort Allenmoos",8.5398039,47.4031982,"(8.5398039 , 47.4031982)"
kindergarten,"Morgentisch, Mittag-/Abendhort Brunnenhof",8.5347931,47.4003715,"(8.5347931 , 47.4003715)"
kindergarten,Kindergarten Hutten Pavillon 1 + 2,8.5492402,47.3819878,"(8.5492402 , 47.3819878)"
kindergarten,Kindergarten Rütschistrasse,8.5332054,47.3934885,"(8.5332054 , 47.3934885)"
kindergarten,Kindergarten Kronenwiese 1 + 2,8.5364607,47.3872385,"(8.5364607 , 47.3872385)"
kindergarten,MittaghortNürenberg,8.5320513,47.3920526,"(8.5320513 , 47.3920526)"
kindergarten,Mittag-/AbendhortWasserwerk,8.5310822,47.3883227,"(8.5310822 , 47.3883227)"
kindergarten,Kindergarten Dorfstrasse,8.5227934,47.3946327,"(8.5227934 , 47.3946327)"
kindergarten,Kindergarten Hönggerstrasse,8.5205478,47.394235,"(8.5205478 , 47.394235)"
kindergarten,Kindergarten Waidhalde Schulhaus 1,8.5251107,47.3971563,"(8.5251107 , 47.3971563)"
kindergarten,Mittag-/AbendhortDorfstrasse,8.5227051,47.3945058,"(8.5227051 , 47.3945058)"
kindergarten,Mittag-/Abendhort Höngg,8.5231001,47.3929746,"(8.5231001 , 47.3929746)"
kindergarten,Mittaghort Trotten,8.5242139,47.395053,"(8.5242139 , 47.395053)"
kindergarten,"Morgentisch, Mittag-/Abendhort Waidhalde 1 - 3",8.5268257,47.3970913,"(8.5268257 , 47.3970913)"
kindergarten,Mittag-/Abendhort Nord 1 + 2,8.5266996,47.3948963,"(8.5266996 , 47.3948963)"
kindergarten,Mittag-/Abendhort Nordbrücke,8.5302374,47.3940774,"(8.5302374 , 47.3940774)"
kindergarten,Kindergarten Bombach 1 + 2,8.4839099,47.4055131,"(8.4839099 , 47.4055131)"
kindergarten,Kindergarten Wildenweg 1 + 2,8.4881639,47.4080996,"(8.4881639 , 47.4080996)"
kindergarten,Kindergarten Winzerhalde 1 + 2,8.4880568,47.4013182,"(8.4880568 , 47.4013182)"
kindergarten,Mittag-/Abendhort Pünten 1,8.4884751,47.4050667,"(8.4884751 , 47.4050667)"
kindergarten,"Morgentisch, Mittag-/Abendhort Riedhof 1 + 2",8.486,47.4081318,"(8.486 , 47.4081318)"
kindergarten,Mittag-/AbendhortRiedhof 3,8.4858938,47.4078695,"(8.4858938 , 47.4078695)"
kindergarten,Mittag-/Abendhort Rütihof 2,8.476062,47.4130903,"(8.476062 , 47.4130903)"
kindergarten,Mittag-/Abendhort Rütihof 3,8.4777744,47.4142426,"(8.4777744 , 47.4142426)"
kindergarten,Kindergarten Scherr 1,8.5467978,47.3847667,"(8.5467978 , 47.3847667)"
kindergarten,MittaghortScherr 4,8.5477446,47.3857401,"(8.5477446 , 47.3857401)"
kindergarten,Mittag-/Abendhort Winterthurer,8.5462694,47.3886438,"(8.5462694 , 47.3886438)"
kindergarten,Kindergarten Am Wettingertobel,8.4969274,47.4017722,"(8.4969274 , 47.4017722)"
kindergarten,Mittag-/Abendhort Vogtsrain 1,8.4993102,47.4044099,"(8.4993102 , 47.4044099)"
kindergarten,Kindergarten Beckenhof,8.5409818,47.3853962,"(8.5409818 , 47.3853962)"
kindergarten,Kindergarten Scheuchzerstrasse 1 + 2,8.5437405,47.3882322,"(8.5437405 , 47.3882322)"
kindergarten,Mittag-/Abendhort Rösli,8.5422159,47.3885133,"(8.5422159 , 47.3885133)"
kindergarten,Mittag-/Abendhort Turner 1,8.5415668,47.3881118,"(8.5415668 , 47.3881118)"
