,name,lon,lat,city,postcode,street,coordinates,isin_kreis_1,isin_kreis_2,isin_kreis_3,isin_kreis_4,isin_kreis_5,isin_kreis_6,isin_kreis_7,isin_kreis_8,isin_kreis_9,isin_kreis_10,isin_kreis_11,isin_kreis_12,parent
2175,Alnatura City,8.5361724,47.37502070000001,Zürich,8001,Löwenstrasse,"(8.5361724 , 47.3750207)",True,False,False,False,False,False,False,False,False,False,False,False,Migros
2190,Aldi Suisse,8.5437179,47.4089385,Zürich,8050,Baumackerstrasse,"(8.5437179 , 47.4089385)",False,False,False,False,False,False,False,False,False,False,True,False,Aldi
2191,Denner,8.5485107,47.4073192,Zürich,8050,Schwamendingenstrasse,"(8.5485107 , 47.4073192)",False,False,False,False,False,False,False,False,False,False,True,False,Migros
2224,Spar,8.4896864,47.3800378,Zürich,8047,Freilagerstrasse,"(8.4896864 , 47.3800378)",False,False,False,False,False,False,False,False,True,False,False,False,Spar
2225,Alnatura Oerlikon,8.5435046,47.4090111,Zürich,8050,Baumackerstrasse,"(8.5435046 , 47.4090111)",False,False,False,False,False,False,False,False,False,False,True,False,Migros
2234,Coop Wollishofen Seestrasse,8.5330286,47.347207700000006,Zürich,8038,Seestrasse,"(8.5330286 , 47.3472077)",False,True,False,False,False,False,False,False,False,False,False,False,Coop
2260,Coop Rigiplatz,8.548021400000001,47.383878,Zürich,8006,Universitätstrasse,"(8.5480214 , 47.383878)",False,False,False,False,False,True,False,False,False,False,False,False,Coop
2288,Aldi Suisse,8.533236099999998,47.3808588,Zürich,8005,Zollstrasse,"(8.5332361 , 47.3808588)",False,False,False,False,True,False,False,False,False,False,False,False,Aldi
2291,Migros Hauptbahnhof,8.5404169,47.3782902,Zürich,8001, ,"(8.5404169 , 47.3782902)",True,False,False,False,False,False,False,False,False,False,False,False,Migros
2292,Coop Hauptbahnhof,8.538369,47.377825200000004,Zürich,8001, ,"(8.538369 , 47.3778252)",True,False,False,False,False,False,False,False,False,False,False,False,Coop
2293,Migros ShopVilleMärt,8.5394102,47.3770315,Zürich,8001, ,"(8.5394102 , 47.3770315)",True,False,False,False,False,False,False,False,False,False,False,False,Migros
2311,Coop,8.534870199999999,47.380695700000004,Zürich,8005,Zollstrasse,"(8.5348702 , 47.3806957)",False,False,False,False,True,False,False,False,False,False,False,False,Coop
2412,Migros Pünt Albisrieden,8.485717999999999,47.3752033,Zürich,8047,Albisriederstrasse,"(8.485718 , 47.3752033)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
2413,M-Outlet Herdern,8.5087002,47.3900789,Zürich,8005,Pfingstweidstrasse,"(8.5087002 , 47.3900789)",False,False,False,False,True,False,False,False,False,False,False,False,Migros
2414,Migros Rigiplatz,8.5486931,47.3859928,Zürich,8006,Winterthurerstrasse,"(8.5486931 , 47.3859928)",False,False,False,False,False,True,False,False,False,False,False,False,Migros
2415,VOI Grünau,8.4865224,47.396145000000004,Zürich,8064,Grünauring,"(8.4865224 , 47.396145)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
2419,Denner,8.543497300000002,47.4105537,Zürich,8050, ,"(8.5434973 , 47.4105537)",False,False,False,False,False,False,False,False,False,False,True,False,Migros
2421,Denner,8.4870669,47.3887075,Zürich,8048,Altstetterstrasse,"(8.4870669 , 47.3887075)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
2422,Denner,8.4995797,47.385999700000006,Zürich,8048,Baslerstrasse,"(8.4995797 , 47.3859997)",False,False,False,False,False,False,False,False,True,False,False,False,Migros
2427,Coop City St. Annahof Food,8.537713,47.3729278,Zürich,8001,Bahnhofstrasse,"(8.537713 , 47.3729278)",True,False,False,False,False,False,False,False,False,False,False,False,Coop
2432,Spar,8.563379199999998,47.360408299999996,Zürich,8032,Forchstrasse,"(8.5633792 , 47.3604083)",False,False,False,False,False,False,True,False,False,False,False,False,Spar
2438,Aldi Suisse,8.4978671,47.3838311,Zürich,8048,Badenerstrasse,"(8.4978671 , 47.3838311)",False,False,False,False,False,False,False,False,True,False,False,False,Aldi
2440,Coop Brotgasse,8.549921000000001,47.363156,Zürich,8008,Seefeldstrasse,"(8.549921 , 47.363156)",False,False,False,False,False,False,False,True,False,False,False,False,Coop
2446,Coop Sihlcity,8.5228769,47.3574475,Zürich,8045,Kalanderplatz,"(8.5228769 , 47.3574475)",False,False,True,False,False,False,False,False,False,False,False,False,Coop
2447,Coop Suteracher,8.471855999999999,47.3898336,Zürich,8048,Am Suteracher,"(8.471856 , 47.3898336)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
2448,Coop City Oerlikon Food,8.5467405,47.4104766,Zürich,8050,Wallisellenstrasse,"(8.5467405 , 47.4104766)",False,False,False,False,False,False,False,False,False,False,True,False,Coop
2449,Coop Tiefenbrunnen,8.558975,47.3533217,Zürich,8008,Seefeldstrasse,"(8.558975 , 47.3533217)",False,False,False,False,False,False,False,True,False,False,False,False,Coop
2565,Coop Bombach,8.4813811,47.4058783,Zürich,8049,Frankentalerstrasse,"(8.4813811 , 47.4058783)",False,False,False,False,False,False,False,False,False,True,False,False,Coop
2642,Coop Bleicherweg,8.535848199999998,47.3677811, , , ,"(8.5358482 , 47.3677811)",False,True,False,False,False,False,False,False,False,False,False,False,Coop
2712,Coop,8.5470117,47.4128725,Zürich,8050,Andreasstrasse,"(8.5470117 , 47.4128725)",False,False,False,False,False,False,False,False,False,False,True,False,Coop
2762,Coop,8.4839444,47.393543, , , ,"(8.4839444 , 47.393543)",False,False,False,False,False,False,False,False,True,False,False,False,Coop
2771,Coop,8.507715800000001,47.407788700000005, , , ,"(8.5077158 , 47.4077887)",False,False,False,False,False,False,False,False,False,True,False,False,Coop
2826,Migros,8.535903999999999,47.3782589,Zürich,8001, ,"(8.535904 , 47.3782589)",False,False,False,True,False,False,False,False,False,False,False,False,Migros
2827,Alnatura,8.535839300000001,47.3782757,Zürich,8001, ,"(8.5358393 , 47.3782757)",False,False,False,True,False,False,False,False,False,False,False,False,Migros
2864,VOI,8.5183575,47.3953281,Zürich,8037,Hönggerstrasse,"(8.5183575 , 47.3953281)",False,False,False,False,False,False,False,False,False,True,False,False,Migros
